,y
625,446000
626,172000
627,515000
628,668000
629,690000
630,780000
631,228000
632,1820000
633,539000
634,245000
635,149000
636,580000
637,439000
638,490000
639,130000
640,1200000
641,440000
642,399000
643,292000
644,330000
645,249000
646,338000
647,1300000
648,500000
649,650000
650,380000
651,199000
652,380000
653,825000
654,336000
655,585000
656,195000
657,425000
658,280000
659,220000
660,480000
661,311000
662,520000
663,1550000
664,530000
665,680000
666,350000
667,185000
668,1200000
669,720000
670,560000
671,510000
672,410000
673,889000
674,310000
675,470000
676,615000
677,295000
678,185000
679,320000
680,369000
681,195000
682,169000
683,680000
684,2000000
685,559000
686,599000
687,185000
688,458000
689,550000
690,185000
691,2700000
692,460000
693,260000
694,359000
695,662000
696,570000
697,690000
698,670000
699,342000
700,230000
701,467000
702,280000
703,2500000
704,310000
705,890000
706,690000
707,225000
708,290000
709,610000
710,315000
711,1100000
712,990000
713,520000
714,270000
715,285000
716,890000
717,375000
718,299000
719,448000
720,320000
721,475000
722,365000
723,220000
724,329000
725,440000
726,448000
727,795000
728,1180000
729,630000
730,240000
731,765000
732,895000
733,400000
734,1240000
735,320000
736,475000
737,203000
738,785000
739,480000
740,420000
741,1850000
742,449000
743,705000
744,1150000
745,375000
746,230000
747,1249000
748,269000
749,110000
750,330000
751,661000
752,299000
753,1100000
754,790000
755,350000
756,310000
757,430000
758,435000
759,650000
760,2600000
761,528000
762,229000
763,545000
764,225000
765,380000
766,590000
767,674809
768,139000
769,486000
770,450000
771,130000
772,198000
773,229000
774,390000
775,219000
776,510000
777,198000
778,1090000
779,540000
780,420000
781,225000
782,245000
783,270000
784,259000
785,680000
786,439000
787,1158000
788,369000
789,220000
790,598000
791,295000
792,225000
793,250000
794,347000
795,575000
796,1770000
797,129000
798,219000
799,215000
800,440000
801,348000
802,185000
803,535000
804,248000
805,570000
806,760000
807,214000
808,440000
809,435000
810,303000
811,359000
812,379000
813,1800000
814,799000
815,660000
816,475000
817,1450000
818,220000
819,249000
820,215000
821,1830000
822,1230000
823,260000
824,499000
825,980000
826,299000
827,990000
828,925000
829,215000
830,399000
831,390000
832,1680000
833,269000
834,550000
835,2678000
836,549000
837,850000
838,590000
839,180000
840,530000
841,416000
842,209000
843,245000
844,297000
845,490000
846,315000
847,850000
848,1650000
849,335000
850,155000
851,360000
852,510000
853,615000
854,196000
855,119000
856,365000
857,148000
858,610000
859,195000
860,285000
861,289000
862,360000
863,320000
864,290000
865,765000
866,850000
867,285000
868,378000
869,416000
870,535000
871,310000
872,1600000
873,2760000
874,177000
875,259000
876,1425000
877,100000
878,299000
879,639000
880,630000
881,255000
882,305000
883,395000
884,618000
885,499000
886,1225000
887,1055000
888,338000
889,348000
890,148000
891,670000
892,690000
893,299000
894,510000
895,219000
896,549000
897,933000
898,210000
899,255000
900,780000
901,245000
902,590000
903,478000
904,390000
905,505000
906,205000
907,497000
908,169000
909,169000
910,400000
911,1900000
912,580000
913,480500
914,495000
915,970000
916,208000
917,374000
918,319000
919,448000
920,212000
921,1250000
922,498000
923,2300000
924,335000
925,598000
926,543000
927,345000
928,365000
929,450000
930,525000
931,1400000
932,580000
933,250000
934,850000
935,310000
936,730000
937,280000
938,1250000
939,819000
940,310000
941,305000
942,470000
943,430000
944,325000
945,135000
946,375000
947,750000
948,860000
949,370000
950,910000
951,895000
952,698000
953,840000
954,450000
955,330000
956,395000
957,260000
958,400000
959,330000
960,980000
961,275000
962,355000
963,895000
964,249000
965,480000
966,419000
967,440000
968,329000
969,790000
970,155000
971,167000
972,140000
973,650000
974,495000
975,159500
976,800000
977,365000
978,330000
979,1250000
980,550000
981,259000
982,420000
983,175000
984,370000
985,318000
986,299000
987,185000
988,910000
989,1450000
990,738000
991,180000
992,2700000
993,165000
994,235000
995,226000
996,495000
997,490000
998,1195000
999,215000
1000,2435000
1001,545000
1002,200000
1003,575000
1004,190000
1005,135000
1006,310000
1007,890000
1008,890000
1009,1100000
1010,1250000
1011,320000
1012,223000
1013,240000
1014,242000
1015,255000
1016,205000
1017,255000
1018,189000
1019,660000
1020,1100000
1021,475000
1022,269000
1023,225000
